LANP_label,ENG_label,AgeGroup,ST_label,n
Ilocano,Very well,Adult,Hawaii/HI,18459
Spanish,Very well,Adult,Hawaii/HI,18291
Hawaiian,Very well,Adult,Hawaii/HI,15388
Tagalog,Very well,Adult,Hawaii/HI,14990
Ilocano,Well,Adult,Hawaii/HI,14693
Japanese,Very well,Adult,Hawaii/HI,12573
Tagalog,Well,Adult,Hawaii/HI,8807
Filipino,Very well,Adult,Hawaii/HI,8332
Other English-based Creole languages,Very well,Adult,Hawaii/HI,7206
Ilocano,Well,Senior,Hawaii/HI,6712
Japanese,Well,Adult,Hawaii/HI,6533
Hawaiian,Very well,Youth,Hawaii/HI,6412
Samoan,Very well,Adult,Hawaii/HI,5969
Japanese,Very well,Senior,Hawaii/HI,5801
Ilocano,Not well,Senior,Hawaii/HI,5745
Filipino,Well,Adult,Hawaii/HI,5234
Ilocano,Not well,Adult,Hawaii/HI,5107
Korean,Very well,Adult,Hawaii/HI,4820
Chinese,Very well,Adult,Hawaii/HI,4460
Ilocano,Very well,Senior,Hawaii/HI,4301
Spanish,Well,Adult,Hawaii/HI,3559
Spanish,Very well,Youth,Hawaii/HI,3542
Tagalog,Very well,Senior,Hawaii/HI,3501
Japanese,Well,Senior,Hawaii/HI,3407
Tagalog,Well,Senior,Hawaii/HI,3169
Hawaiian,Very well,Senior,Hawaii/HI,3128
Japanese,Very well,Youth,Hawaii/HI,3067
Japanese,Not well,Adult,Hawaii/HI,3017
Ilocano,Very well,Youth,Hawaii/HI,2996
Japanese,Not well,Senior,Hawaii/HI,2919
Korean,Well,Adult,Hawaii/HI,2914
Marshallese,Very well,Adult,Hawaii/HI,2726
Other Eastern Malayo-Polynesian languages,Very well,Adult,Hawaii/HI,2695
Cantonese,Very well,Adult,Hawaii/HI,2596
Chinese,Well,Adult,Hawaii/HI,2594
Vietnamese,Very well,Adult,Hawaii/HI,2508
Korean,Not well,Adult,Hawaii/HI,2444
Filipino,Well,Senior,Hawaii/HI,2339
Vietnamese,Not well,Adult,Hawaii/HI,2313
Tongan,Very well,Adult,Hawaii/HI,2295
French,Very well,Adult,Hawaii/HI,2263
Chinese,Not well,Adult,Hawaii/HI,2229
Korean,Not well,Senior,Hawaii/HI,2127
Chuukese,Not well,Adult,Hawaii/HI,2103
Other Eastern Malayo-Polynesian languages,Well,Adult,Hawaii/HI,2057
Vietnamese,Well,Adult,Hawaii/HI,1979
Other English-based Creole languages,Very well,Senior,Hawaii/HI,1952
Tagalog,Not well,Adult,Hawaii/HI,1944
Spanish,Very well,Senior,Hawaii/HI,1887
Filipino,Very well,Senior,Hawaii/HI,1849
German,Very well,Adult,Hawaii/HI,1826
Mandarin,Very well,Adult,Hawaii/HI,1762
Cantonese,Not well,Senior,Hawaii/HI,1742
Chuukese,Well,Adult,Hawaii/HI,1742
Mandarin,Not well,Adult,Hawaii/HI,1692
Cantonese,Well,Adult,Hawaii/HI,1675
Tagalog,Not well,Senior,Hawaii/HI,1586
Marshallese,Well,Adult,Hawaii/HI,1582
Other English-based Creole languages,Well,Adult,Hawaii/HI,1572
Chuukese,Very well,Adult,Hawaii/HI,1547
Marshallese,Very well,Youth,Hawaii/HI,1497
Samoan,Well,Adult,Hawaii/HI,1490
Spanish,Not well,Adult,Hawaii/HI,1467
Cantonese,Not well,Adult,Hawaii/HI,1435
Filipino,Not well,Senior,Hawaii/HI,1424
Mandarin,Well,Adult,Hawaii/HI,1327
Chinese,Very well,Youth,Hawaii/HI,1320
Korean,Well,Senior,Hawaii/HI,1311
Ilocano,Well,Youth,Hawaii/HI,1291
Chinese,Very well,Senior,Hawaii/HI,1282
Tagalog,Very well,Youth,Hawaii/HI,1242
Cebuano,Very well,Adult,Hawaii/HI,1225
Chinese,Not well,Senior,Hawaii/HI,1214
Filipino,Not well,Adult,Hawaii/HI,1210
Chuukese,Very well,Youth,Hawaii/HI,1195
Filipino,Very well,Youth,Hawaii/HI,1136
Cebuano,Well,Adult,Hawaii/HI,1128
Other English-based Creole languages,Very well,Youth,Hawaii/HI,1048
Portuguese,Very well,Adult,Hawaii/HI,1005
Hawaiian,Well,Adult,Hawaii/HI,961
Cantonese,Not at all,Senior,Hawaii/HI,943
Vietnamese,Very well,Youth,Hawaii/HI,941
Vietnamese,Not well,Senior,Hawaii/HI,916
Korean,Very well,Youth,Hawaii/HI,871
Chinese,Well,Senior,Hawaii/HI,867
French,Very well,Senior,Hawaii/HI,843
Russian,Very well,Adult,Hawaii/HI,826
Japanese,Well,Youth,Hawaii/HI,823
Marshallese,Not well,Adult,Hawaii/HI,822
Other English-based Creole languages,Well,Senior,Hawaii/HI,787
Chinese,Not at all,Senior,Hawaii/HI,763
Ilocano,Not at all,Senior,Hawaii/HI,756
Thai,Well,Adult,Hawaii/HI,734
German,Very well,Senior,Hawaii/HI,728
Cantonese,Well,Senior,Hawaii/HI,727
Thai,Very well,Adult,Hawaii/HI,705
Samoan,Very well,Youth,Hawaii/HI,682
Hawaiian,Well,Youth,Hawaii/HI,670
Korean,Not at all,Senior,Hawaii/HI,657
Vietnamese,Well,Senior,Hawaii/HI,652
Chuukese,Well,Youth,Hawaii/HI,634
Cantonese,Very well,Youth,Hawaii/HI,622
Mandarin,Not at all,Adult,Hawaii/HI,608
Tongan,Well,Adult,Hawaii/HI,604
Chinese,Not at all,Adult,Hawaii/HI,602
Samoan,Very well,Senior,Hawaii/HI,581
Spanish,Well,Youth,Hawaii/HI,567
Other Eastern Malayo-Polynesian languages,Very well,Youth,Hawaii/HI,564
Chinese,Well,Youth,Hawaii/HI,544
Samoan,Not well,Senior,Hawaii/HI,543
Italian,Very well,Adult,Hawaii/HI,519
Korean,Very well,Senior,Hawaii/HI,519
Farsi,Very well,Adult,Hawaii/HI,497
Mandarin,Very well,Youth,Hawaii/HI,476
Lao,Very well,Adult,Hawaii/HI,468
Tongan,Very well,Senior,Hawaii/HI,439
Portuguese,Well,Adult,Hawaii/HI,427
Hindi,Very well,Adult,Hawaii/HI,414
Polish,Very well,Adult,Hawaii/HI,412
French,Well,Adult,Hawaii/HI,410
French,Very well,Youth,Hawaii/HI,405
Cebuano,Not well,Adult,Hawaii/HI,400
Korean,Not well,Youth,Hawaii/HI,400
Marshallese,Well,Youth,Hawaii/HI,397
Chuukese,Not well,Youth,Hawaii/HI,396
Cantonese,Not at all,Adult,Hawaii/HI,384
Cantonese,Very well,Senior,Hawaii/HI,384
Tagalog,Well,Youth,Hawaii/HI,374
Cantonese,Well,Youth,Hawaii/HI,361
Samoan,Not well,Adult,Hawaii/HI,361
German,Well,Adult,Hawaii/HI,354
Hebrew,Very well,Adult,Hawaii/HI,352
Lao,Well,Adult,Hawaii/HI,351
Mandarin,Not well,Senior,Hawaii/HI,351
German,Very well,Youth,Hawaii/HI,349
Spanish,Not at all,Adult,Hawaii/HI,349
Other English-based Creole languages,Well,Youth,Hawaii/HI,345
Mandarin,Well,Youth,Hawaii/HI,333
Filipino,Not at all,Adult,Hawaii/HI,330
Filipino,Well,Youth,Hawaii/HI,310
Lao,Not well,Adult,Hawaii/HI,304
Thai,Not well,Senior,Hawaii/HI,292
Other Philippine languages,Very well,Adult,Hawaii/HI,290
Chamorro,Very well,Adult,Hawaii/HI,289
Spanish,Well,Senior,Hawaii/HI,287
Hawaiian,Not well,Adult,Hawaii/HI,284
Hawaiian,Well,Senior,Hawaii/HI,275
Cebuano,Very well,Senior,Hawaii/HI,273
Samoan,Well,Youth,Hawaii/HI,273
Ilocano,Not at all,Adult,Hawaii/HI,270
Afrikaans,Very well,Adult,Hawaii/HI,261
Cebuano,Well,Senior,Hawaii/HI,258
Mandarin,Well,Senior,Hawaii/HI,256
Russian,Well,Adult,Hawaii/HI,256
Min Nan Chinese,Very well,Adult,Hawaii/HI,250
Cebuano,Very well,Youth,Hawaii/HI,247
Vietnamese,Well,Youth,Hawaii/HI,240
Dutch,Very well,Adult,Hawaii/HI,236
Thai,Not well,Adult,Hawaii/HI,235
Other and unspecified languages,Very well,Adult,Hawaii/HI,234
Korean,Well,Youth,Hawaii/HI,224
Indonesian,Very well,Adult,Hawaii/HI,218
Portuguese,Very well,Youth,Hawaii/HI,217
Tongan,Very well,Youth,Hawaii/HI,213
Ukrainian,Very well,Youth,Hawaii/HI,213
Ilocano,Not well,Youth,Hawaii/HI,209
Cebuano,Not well,Senior,Hawaii/HI,206
Other Eastern Malayo-Polynesian languages,Very well,Senior,Hawaii/HI,202
Lao,Very well,Youth,Hawaii/HI,201
Other Eastern Malayo-Polynesian languages,Not well,Adult,Hawaii/HI,201
Tongan,Not well,Senior,Hawaii/HI,201
Arabic,Very well,Adult,Hawaii/HI,200
Mandarin,Not well,Youth,Hawaii/HI,199
Samoan,Well,Senior,Hawaii/HI,199
Tongan,Well,Senior,Hawaii/HI,193
Bulgarian,Very well,Adult,Hawaii/HI,190
Thai,Well,Senior,Hawaii/HI,190
Telugu,Well,Adult,Hawaii/HI,189
Mandarin,Very well,Senior,Hawaii/HI,186
Min Nan Chinese,Well,Senior,Hawaii/HI,186
Thai,Very well,Senior,Hawaii/HI,186
Chuukese,Well,Senior,Hawaii/HI,183
Japanese,Not at all,Senior,Hawaii/HI,182
Akan (incl. Twi),Very well,Adult,Hawaii/HI,179
Other Eastern Malayo-Polynesian languages,Well,Youth,Hawaii/HI,177
Finnish,Very well,Adult,Hawaii/HI,175
Vietnamese,Not at all,Senior,Hawaii/HI,171
Chuukese,Not at all,Adult,Hawaii/HI,170
Hawaiian,Not well,Youth,Hawaii/HI,168
Vietnamese,Very well,Senior,Hawaii/HI,166
Other Indo-European languages,Very well,Adult,Hawaii/HI,163
Afrikaans,Very well,Senior,Hawaii/HI,161
Chinese,Not well,Youth,Hawaii/HI,161
Spanish,Not well,Senior,Hawaii/HI,161
Russian,Very well,Youth,Hawaii/HI,155
Marshallese,Not well,Senior,Hawaii/HI,150
Chuukese,Very well,Senior,Hawaii/HI,146
Vietnamese,Not at all,Adult,Hawaii/HI,143
German,Well,Senior,Hawaii/HI,138
Indonesian,Well,Adult,Hawaii/HI,138
Ukrainian,Very well,Adult,Hawaii/HI,136
Chamorro,Well,Senior,Hawaii/HI,133
Burmese,Well,Adult,Hawaii/HI,127
Other Philippine languages,Not well,Adult,Hawaii/HI,127
Tamil,Well,Adult,Hawaii/HI,127
Vietnamese,Not well,Youth,Hawaii/HI,127
Czech,Very well,Youth,Hawaii/HI,126
Italian,Very well,Senior,Hawaii/HI,124
Hindi,Very well,Senior,Hawaii/HI,122
Japanese,Not at all,Adult,Hawaii/HI,121
Japanese,Not well,Youth,Hawaii/HI,119
French,Not well,Adult,Hawaii/HI,115
Uto-Aztecan languages,Very well,Youth,Hawaii/HI,114
Chuukese,Not well,Senior,Hawaii/HI,113
Spanish,Not at all,Senior,Hawaii/HI,111
Danish,Very well,Adult,Hawaii/HI,109
Portuguese,Very well,Senior,Hawaii/HI,107
Tamil,Very well,Youth,Hawaii/HI,105
Nepali,Well,Adult,Hawaii/HI,104
Spanish,Not well,Youth,Hawaii/HI,103
Uto-Aztecan languages,Very well,Adult,Hawaii/HI,101
Filipino,Not at all,Senior,Hawaii/HI,100
Japanese,Not at all,Youth,Hawaii/HI,99
Thai,Very well,Youth,Hawaii/HI,99
Tongan,Well,Youth,Hawaii/HI,99
Marshallese,Very well,Senior,Hawaii/HI,97
German,Well,Youth,Hawaii/HI,96
Cantonese,Not well,Youth,Hawaii/HI,95
Tagalog,Not at all,Senior,Hawaii/HI,94
Hungarian,Very well,Adult,Hawaii/HI,92
Arabic,Well,Adult,Hawaii/HI,91
Other Philippine languages,Very well,Senior,Hawaii/HI,90
Romanian,Well,Adult,Hawaii/HI,90
Ilocano,Not at all,Youth,Hawaii/HI,89
Hmong,Very well,Adult,Hawaii/HI,88
Other and unspecified languages,Very well,Senior,Hawaii/HI,88
Arabic,Very well,Youth,Hawaii/HI,85
Chamorro,Very well,Senior,Hawaii/HI,84
Farsi,Very well,Senior,Hawaii/HI,84
Other Philippine languages,Very well,Youth,Hawaii/HI,84
German,Not well,Youth,Hawaii/HI,83
Lao,Well,Senior,Hawaii/HI,83
Min Nan Chinese,Well,Adult,Hawaii/HI,79
Bengali,Very well,Adult,Hawaii/HI,78
Other and unspecified languages,Very well,Youth,Hawaii/HI,78
Lithuanian,Very well,Adult,Hawaii/HI,77
Greek,Very well,Adult,Hawaii/HI,75
Tagalog,Not at all,Adult,Hawaii/HI,75
Other languages of Asia,Very well,Adult,Hawaii/HI,74
Russian,Not well,Adult,Hawaii/HI,74
Greek,Well,Youth,Hawaii/HI,73
Samoan,Not well,Youth,Hawaii/HI,73
Swedish,Very well,Adult,Hawaii/HI,73
Indonesian,Very well,Senior,Hawaii/HI,72
Other Philippine languages,Well,Adult,Hawaii/HI,70
Russian,Very well,Senior,Hawaii/HI,70
Bengali,Well,Adult,Hawaii/HI,65
Filipino,Not well,Youth,Hawaii/HI,65
Nepali,Very well,Adult,Hawaii/HI,65
Hebrew,Very well,Youth,Hawaii/HI,64
Khmer,Well,Adult,Hawaii/HI,64
Other Eastern Malayo-Polynesian languages,Not well,Youth,Hawaii/HI,64
Swahili,Well,Senior,Hawaii/HI,64
Turkish,Very well,Adult,Hawaii/HI,64
Bulgarian,Very well,Youth,Hawaii/HI,63
Danish,Very well,Senior,Hawaii/HI,63
Latvian,Very well,Senior,Hawaii/HI,62
Haitian,Very well,Adult,Hawaii/HI,61
Hungarian,Very well,Senior,Hawaii/HI,61
Other Eastern Malayo-Polynesian languages,Well,Senior,Hawaii/HI,61
Czech,Well,Adult,Hawaii/HI,60
Mandarin,Not at all,Youth,Hawaii/HI,59
Croatian,Very well,Adult,Hawaii/HI,58
Korean,Not at all,Adult,Hawaii/HI,58
Malayalam,Very well,Adult,Hawaii/HI,58
Shona,Very well,Adult,Hawaii/HI,58
Hindi,Not well,Adult,Hawaii/HI,57
Other Native North American languages,Well,Adult,Hawaii/HI,57
Serbian,Very well,Adult,Hawaii/HI,57
Cebuano,Well,Youth,Hawaii/HI,56
Polish,Well,Adult,Hawaii/HI,56
Sinhala,Not well,Adult,Hawaii/HI,56
Swedish,Well,Adult,Hawaii/HI,55
Burmese,Very well,Adult,Hawaii/HI,54
Chamorro,Well,Adult,Hawaii/HI,54
Min Nan Chinese,Very well,Senior,Hawaii/HI,54
Other Bantu languages,Very well,Youth,Hawaii/HI,51
Czech,Very well,Adult,Hawaii/HI,50
Nepali,Very well,Youth,Hawaii/HI,50
Swahili,Very well,Adult,Hawaii/HI,50
Arabic,Not well,Adult,Hawaii/HI,49
Danish,Very well,Youth,Hawaii/HI,49
Punjabi,Well,Senior,Hawaii/HI,49
Other Indo-Iranian languages,Very well,Senior,Hawaii/HI,48
Hawaiian,Not well,Senior,Hawaii/HI,47
Italian,Well,Adult,Hawaii/HI,47
Other English-based Creole languages,Not well,Adult,Hawaii/HI,47
Sinhala,Well,Adult,Hawaii/HI,47
French,Well,Senior,Hawaii/HI,46
Mongolian,Well,Adult,Hawaii/HI,46
Thai,Not at all,Adult,Hawaii/HI,46
Min Nan Chinese,Not well,Adult,Hawaii/HI,44
Swedish,Very well,Senior,Hawaii/HI,44
Other Bantu languages,Very well,Adult,Hawaii/HI,43
Marshallese,Not well,Youth,Hawaii/HI,42
Swiss German,Very well,Adult,Hawaii/HI,42
Lithuanian,Very well,Youth,Hawaii/HI,41
Tibetan,Well,Adult,Hawaii/HI,41
Tongan,Not well,Youth,Hawaii/HI,41
Chamorro,Very well,Youth,Hawaii/HI,40
Czech,Not well,Adult,Hawaii/HI,40
Armenian,Very well,Adult,Hawaii/HI,39
Hungarian,Very well,Youth,Hawaii/HI,39
Tongan,Not well,Adult,Hawaii/HI,39
French,Well,Youth,Hawaii/HI,38
German,Not well,Adult,Hawaii/HI,38
Other Philippine languages,Well,Senior,Hawaii/HI,38
Malay,Very well,Adult,Hawaii/HI,37
Dutch,Well,Adult,Hawaii/HI,36
Lao,Very well,Senior,Hawaii/HI,36
Manding languages,Very well,Adult,Hawaii/HI,36
Other Eastern Malayo-Polynesian languages,Not well,Senior,Hawaii/HI,36
Other Native North American languages,Very well,Adult,Hawaii/HI,35
Other Philippine languages,Not at all,Adult,Hawaii/HI,35
Other Philippine languages,Not well,Youth,Hawaii/HI,35
Swahili,Well,Adult,Hawaii/HI,35
Min Nan Chinese,Not well,Senior,Hawaii/HI,34
Other English-based Creole languages,Not well,Senior,Hawaii/HI,34
Hungarian,Well,Senior,Hawaii/HI,33
Kannada,Very well,Adult,Hawaii/HI,33
Malay,Very well,Senior,Hawaii/HI,33
Other Eastern Malayo-Polynesian languages,Not at all,Senior,Hawaii/HI,33
German,Not at all,Youth,Hawaii/HI,32
Hmong,Well,Adult,Hawaii/HI,32
Punjabi,Very well,Adult,Hawaii/HI,32
Yoruba,Very well,Adult,Hawaii/HI,32
Mongolian,Very well,Adult,Hawaii/HI,31
Serbian,Well,Senior,Hawaii/HI,31
Khmer,Not well,Adult,Hawaii/HI,30
Serbian,Not well,Senior,Hawaii/HI,30
Swiss German,Very well,Senior,Hawaii/HI,30
Latvian,Very well,Adult,Hawaii/HI,29
Norwegian,Very well,Adult,Hawaii/HI,29
Sinhala,Very well,Adult,Hawaii/HI,29
Urdu,Very well,Adult,Hawaii/HI,29
Bengali,Very well,Senior,Hawaii/HI,28
Lao,Well,Youth,Hawaii/HI,28
Chuukese,Not at all,Senior,Hawaii/HI,26
Samoan,Not at all,Adult,Hawaii/HI,26
Hebrew,Very well,Senior,Hawaii/HI,25
Armenian,Not well,Adult,Hawaii/HI,24
Other and unspecified languages,Well,Adult,Hawaii/HI,24
Serbocroatian,Very well,Adult,Hawaii/HI,24
Telugu,Very well,Adult,Hawaii/HI,24
Arabic,Well,Senior,Hawaii/HI,23
Chamorro,Not well,Senior,Hawaii/HI,23
Mandarin,Not at all,Senior,Hawaii/HI,23
Portuguese,Not well,Senior,Hawaii/HI,23
Romanian,Very well,Adult,Hawaii/HI,23
Tamil,Well,Youth,Hawaii/HI,23
French,Not well,Senior,Hawaii/HI,22
Hmong,Very well,Senior,Hawaii/HI,22
Assyrian Neo-Aramaic,Very well,Adult,Hawaii/HI,21
Cebuano,Not at all,Senior,Hawaii/HI,21
Italian,Well,Senior,Hawaii/HI,21
Lao,Not well,Senior,Hawaii/HI,21
Marshallese,Not at all,Adult,Hawaii/HI,21
Other Philippine languages,Not at all,Senior,Hawaii/HI,21
Urdu,Not well,Adult,Hawaii/HI,21
Amharic,Well,Adult,Hawaii/HI,20
Norwegian,Very well,Senior,Hawaii/HI,20
Tibetan,Very well,Adult,Hawaii/HI,20
Filipino,Not at all,Youth,Hawaii/HI,19
Hebrew,Well,Adult,Hawaii/HI,19
Italian,Very well,Youth,Hawaii/HI,19
Other Eastern Malayo-Polynesian languages,Not at all,Adult,Hawaii/HI,19
Polish,Very well,Youth,Hawaii/HI,19
Tamil,Very well,Adult,Hawaii/HI,19
Marshallese,Well,Senior,Hawaii/HI,18
Swiss German,Very well,Youth,Hawaii/HI,18
Cherokee,Very well,Adult,Hawaii/HI,17
Chinese,Not at all,Youth,Hawaii/HI,17
Hmong,Not well,Adult,Hawaii/HI,17
Indonesian,Very well,Youth,Hawaii/HI,17
Polish,Very well,Senior,Hawaii/HI,17
Dutch,Very well,Youth,Hawaii/HI,16
Dutch,Very well,Senior,Hawaii/HI,16
Hungarian,Well,Adult,Hawaii/HI,16
Indonesian,Well,Senior,Hawaii/HI,16
Other and unspecified languages,Not well,Youth,Hawaii/HI,15
Arabic,Well,Youth,Hawaii/HI,14
Finnish,Very well,Senior,Hawaii/HI,14
Hindi,Well,Senior,Hawaii/HI,14
Hindi,Very well,Youth,Hawaii/HI,14
Other Philippine languages,Not well,Senior,Hawaii/HI,14
Serbian,Very well,Senior,Hawaii/HI,14
Tigrinya,Well,Adult,Hawaii/HI,14
Khmer,Well,Senior,Hawaii/HI,13
Khmer,Very well,Adult,Hawaii/HI,13
Min Nan Chinese,Well,Youth,Hawaii/HI,13
Min Nan Chinese,Very well,Youth,Hawaii/HI,13
Tagalog,Not well,Youth,Hawaii/HI,13
Albanian,Very well,Adult,Hawaii/HI,12
Amharic,Very well,Adult,Hawaii/HI,12
Farsi,Well,Adult,Hawaii/HI,12
Russian,Not at all,Adult,Hawaii/HI,11
Cebuano,Not well,Youth,Hawaii/HI,10
Ga,Very well,Adult,Hawaii/HI,10
Haitian,Well,Adult,Hawaii/HI,10
Indonesian,Not well,Adult,Hawaii/HI,10
Malayalam,Very well,Youth,Hawaii/HI,10
Slovak,Very well,Adult,Hawaii/HI,10
Swedish,Very well,Youth,Hawaii/HI,10
Ukrainian,Well,Adult,Hawaii/HI,10
Ukrainian,Well,Senior,Hawaii/HI,10
Urdu,Very well,Senior,Hawaii/HI,10
Danish,Well,Adult,Hawaii/HI,9
Other languages of Asia,Very well,Senior,Hawaii/HI,9
Other Niger-Congo languages,Well,Adult,Hawaii/HI,9
Telugu,Very well,Senior,Hawaii/HI,9
Turkish,Very well,Senior,Hawaii/HI,9
Dakota languages,Very well,Adult,Hawaii/HI,8
Russian,Well,Senior,Hawaii/HI,8
Samoan,Not at all,Youth,Hawaii/HI,8
Latvian,Well,Senior,Hawaii/HI,7
Other and unspecified languages,Well,Senior,Hawaii/HI,7
Other Native North American languages,Not well,Adult,Hawaii/HI,7
Portuguese,Well,Senior,Hawaii/HI,7
French,Not well,Youth,Hawaii/HI,6
Telugu,Not well,Adult,Hawaii/HI,6
Albanian,Very well,Senior,Hawaii/HI,5
German,Not at all,Senior,Hawaii/HI,5
Hawaiian,Not at all,Adult,Hawaii/HI,5
Other Bantu languages,Well,Adult,Hawaii/HI,5
Chin languages,Well,Adult,Hawaii/HI,3
Czech,Very well,Senior,Hawaii/HI,3
Aleut languages,Not well,Senior,Hawaii/HI,2
India N.E.C.,Very well,Adult,Hawaii/HI,2
Navajo,Not well,Adult,Hawaii/HI,2
Yiddish,Very well,Senior,Hawaii/HI,2
Czech,Well,Senior,Hawaii/HI,1
Spanish,Not at all,Youth,Hawaii/HI,1
